Am Beilsitein,50.16856863140717,9.41239819910278,17,7,"41,2",,
Am Hartrain,50.164278398001336,9.419619809508223,1,1,"100,0",,
Am Villbacher Grund,50.16854316676383,9.40931303046297,12,3,"25,0",,
Berliner Straße,50.16879102950712,9.415971534647857,24,24,"100,0",,
Breslauer Straße,50.165792739889596,9.417804857623665,11,11,"100,0",,
Dresdner Straße,50.169261912720636,9.417113573547907,14,13,"92,9",,
Egerländer Weg,50.165169443994685,9.421522173997756,8,5,"62,5",,Am Beilstein 11
Frankenweg,50.16837088655825,9.414331536588666,13,6,"46,2",,
Heinrich-Kreß-Weg,50.16902553448343,9.41476749936905,7,4,"57,1",,Am Villbacher Grund 6
Hindenburgstraße,,,1,0,"0,0",,Berliner Straße 12
Karlsbader Straße,50.166823897219146,9.420774300823089,14,8,"57,1",,Breslauer Straße 8
Ostpreußenstraße,,,1,0,"0,0",,Dresdner Straße 8
Quellenweg,50.16777385107746,9.416355110046032,15,10,"66,7",,Egerländer Weg 5
Rosenweg,50.16355226184152,9.421432856684152,1,1,"100,0",,Frankenweg 8
Sonnenweg,50.166995340307736,9.421355165010592,4,2,"50,0",,Heinrich-Kreß-Weg 5
Stettiner Straße,50.16852264015191,9.416677081487755,9,5,"55,6",,
Sudetenstraße,50.167070184345135,9.415682695725295,61,28,"45,9",,Karlsbader Straße 11
Südmährer Weg,50.16937332572709,9.418187326514197,30,12,"40,0",,
Urlauber Weg,50.16844846343572,9.411046574406068,4,0,"0,0",,Quellenweg 10
,,,,,,,Rosenweg 1
,,,,,,,Sonnenweg 3
,,,,,,,Stettiner Straße 5
,,,,,,,Sudetenstraße 31
,,,,,,,Südmährer Weg 14
,,,,,,,Urlauber Weg 5
